horizon,history_length,min_support,n_eval,top1_accuracy,top3_accuracy,macro_f1,avg_support,median_support,exact_sequence_rate,markov_fallback_rate,prior_fallback_rate,split
6,4,1,1141,0.3540753724802805,0.6590709903593339,0.23326265139404795,234.7248028045574,59.0,0.9561787905346187,0.04382120946538125,0.0,val
6,4,3,1141,0.36108676599474143,0.6757230499561788,0.2365577602871235,261.8816827344435,72.0,0.915863277826468,0.08413672217353199,0.0,val
6,4,5,1141,0.36459246275197194,0.6809815950920245,0.23771293641277014,278.2322524101665,153.0,0.8930762489044698,0.10692375109553023,0.0,val
6,4,10,1141,0.3663453111305872,0.6783523225241017,0.23478135192140487,314.99561787905344,264.0,0.8396143733567046,0.16038562664329536,0.0,val
6,6,1,1139,0.3669885864793679,0.6488147497805092,0.26385434051480927,189.0465320456541,31.0,0.8516242317822651,0.14837576821773485,0.0,val
6,6,3,1139,0.3845478489903424,0.694468832309043,0.2702602657208987,268.9596136962248,48.0,0.742756804214223,0.257243195785777,0.0,val
6,6,5,1139,0.38893766461808604,0.7006145741878841,0.2632725132424705,315.07638279192275,203.0,0.6812993854258121,0.31870061457418786,0.0,val
6,6,10,1139,0.3863037752414399,0.6935908691834943,0.24915973339421388,386.8525021949078,395.0,0.5891132572431957,0.4108867427568042,0.0,val
12,1,1,1138,0.3242530755711775,0.655536028119508,0.17942239579586372,810.9639718804921,662.0,1.0,0.0,0.0,val
12,1,3,1138,0.3242530755711775,0.655536028119508,0.17942239579586372,810.9639718804921,662.0,1.0,0.0,0.0,val
12,1,5,1138,0.3242530755711775,0.655536028119508,0.17942239579586372,810.9639718804921,662.0,1.0,0.0,0.0,val
12,1,10,1138,0.3242530755711775,0.655536028119508,0.17942239579586372,810.9639718804921,662.0,1.0,0.0,0.0,val
12,2,1,1137,0.3280562884784521,0.6464379947229552,0.1966034645823983,507.5971855760774,530.0,0.9991204925241864,0.0008795074758135445,0.0,val
12,2,3,1137,0.3280562884784521,0.6473175021987687,0.19606846822961058,508.8627968337731,530.0,0.9964819700967458,0.003518029903254178,0.0,val
12,2,5,1137,0.3280562884784521,0.6473175021987687,0.19606846822961058,509.93931398416885,530.0,0.9956024626209323,0.0043975373790677225,0.0,val
12,2,10,1137,0.32717678100263853,0.6464379947229552,0.18970482275713663,512.8803869832893,530.0,0.9920844327176781,0.0079155672823219,0.0,val
12,3,1,1136,0.3248239436619718,0.6470070422535211,0.19891797002719275,327.9198943661972,237.0,0.9894366197183099,0.01056338028169014,0.0,val
12,3,3,1136,0.3265845070422535,0.6558098591549296,0.19770219846373221,342.03345070422534,239.0,0.9691901408450704,0.030809859154929578,0.0,val
12,3,5,1136,0.3283450704225352,0.6584507042253521,0.19897828913523918,347.2667253521127,241.0,0.9621478873239436,0.037852112676056336,0.0,val
12,3,10,1136,0.33274647887323944,0.6584507042253521,0.19973750237752214,363.54401408450707,241.0,0.9339788732394366,0.06602112676056338,0.0,val
12,4,1,1135,0.31013215859030835,0.6475770925110133,0.19411483679470887,234.7092511013216,59.0,0.9568281938325991,0.04317180616740088,0.0,val
12,4,3,1135,0.30837004405286345,0.6607929515418502,0.18964793548904346,261.98149779735684,71.0,0.9162995594713657,0.08370044052863436,0.0,val
12,4,5,1135,0.3136563876651982,0.66784140969163,0.1937385952429912,278.39911894273126,152.0,0.8933920704845815,0.1066079295154185,0.0,val
12,4,10,1135,0.3198237885462555,0.6713656387665198,0.19465666345126642,315.32334801762113,264.0,0.839647577092511,0.160352422907489,0.0,val
12,6,1,1133,0.324801412180053,0.6107678729037952,0.21924443557788648,188.31774051191528,31.0,0.853486319505737,0.14651368049426303,0.0,val
12,6,3,1133,0.33097969991173876,0.6513680494263019,0.21634025388095474,268.5657546337158,48.0,0.7440423654015887,0.2559576345984113,0.0,val
12,6,5,1133,0.3318623124448367,0.6619593998234775,0.21646776368112708,314.8631950573698,203.0,0.6822594880847308,0.3177405119152692,0.0,val
12,6,10,1133,0.3389232127096205,0.6699029126213593,0.21970128858179164,386.12091791703443,255.0,0.5913503971756399,0.4086496028243601,0.0,val
