design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
raw_window_gb,12,144,hgb_fast_shallow,1.1212792514052639,1.36403399411702,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",30.28
raw_window_gb,12,144,hgb_regularized,1.2282528603673928,1.4654458541622832,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",89.63
raw_window_gb,12,144,hgb_balanced,1.352228680293566,1.5950903033435981,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",59.29
raw_window_gb,12,144,hgb_deeper,1.3680925146804623,1.6732218570672688,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",108.96
statistical_feature_gb,12,144,hgb_deeper,0.9642287886856378,1.161189647764362,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",15.62
statistical_feature_gb,12,144,hgb_regularized,1.0787558740053607,1.2842380556894804,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",13.57
statistical_feature_gb,12,144,hgb_fast_shallow,1.090199233756473,1.2758080545659989,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",4.91
statistical_feature_gb,12,144,hgb_balanced,1.108358336581062,1.3195027882034303,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",9.98
pca_embedding_gb,12,144,hgb_regularized,1.1228854237814514,1.3680915309343986,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",7.3
pca_embedding_gb,12,144,hgb_balanced,1.1987404124918752,1.4453043462297566,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.68
pca_embedding_gb,12,144,hgb_fast_shallow,1.2492768924532136,1.4956223734941314,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.2
pca_embedding_gb,12,144,hgb_deeper,1.2756557919131657,1.5507843861287807,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",16.09
token_state_gb,12,144,hgb_fast_shallow,1.0938215872901507,1.327931957974137,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.75
token_state_gb,12,144,hgb_regularized,1.1750184366692058,1.3681129543524388,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",7.48
token_state_gb,12,144,hgb_balanced,1.2230369354905681,1.4382387494393822,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",5.68
token_state_gb,12,144,hgb_deeper,1.261857617256244,1.4666352643597544,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",8.65
